Date,AZ-Phoenix,CA-Los Angeles,CA-San Diego,CA-San Francisco,CO-Denver,DC-Washington,FL-Miami,FL-Tampa,GA-Atlanta,IL-Chicago,MA-Boston,MI-Detroit,MN-Minneapolis,NC-Charlotte,NV-Las Vegas,NY-New York,OH-Cleveland,OR-Portland,TX-Dallas,WA-Seattle
1/1/00,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2/1/00,100.43,100.62,101.07,102.7,100.73,100.53,100.21,100.51,100.8,100.52,100.36,100.44,100.22,100.43,100.33,100.54,99.63,100.52,101.82,100.48
3/1/00,101.42,102.13,103.26,106.56,101.99,101.7,100.74,100.75,101.18,101.53,101.31,100.65,100.58,100.92,100.9,101.27,100.35,100.91,102.04,102.24
4/1/00,102.13,103.7,105.42,110.97,103.07,103.34,101.83,102.02,102.5,102.78,103.27,101,102.01,102.27,101.2,102.41,101.42,101.99,103.2,103.46
5/1/00,102.98,104.99,107.15,115.01,105.26,104.91,102.81,103.26,103.38,104.38,105.85,102.09,103.74,102.68,101.93,104.35,102.3,102.29,104.11,104.78
6/1/00,103.89,106.36,109.64,118.45,107.32,106.29,103.49,104.35,104.58,106.08,108.48,103.19,105.49,103.27,102.44,106,102.65,102.7,104.28,105.28
7/1/00,104.35,107.23,111.21,119.48,108.93,107.72,103.67,105.45,104.81,107.01,110,104.4,106.74,102.85,103.14,107.52,102.6,102.98,104.66,105.82
8/1/00,104.92,108.18,112.84,119.95,110,109.1,104.37,105.79,105.09,107.39,111.38,104.7,108.01,103.02,103.73,108.9,102.92,103.3,105.04,105.88
9/1/00,105.34,108.94,113.66,120.94,111.35,110.18,105.23,106.14,105.08,107.3,112.67,105.32,109.32,102.88,104.51,109.76,103.05,103.31,105.73,106.1
10/1/00,105.67,109.56,114.22,123.08,112.33,110.5,106.25,106.65,105.56,107.29,114.11,105.58,110.57,102.88,105.16,110.51,103.59,103.33,105.69,106.08
